,min_child_weight,colsample_bytree,scale_pos_weight,max_delta_step,subsample,eta,alpha,lambda,max_depth,gamma,max_bin,auc
0,31.0,0.6784866698317162,4.382086776292467,14.381884616684916,0.7522191932371595,0.017881475874441503,0.3395759561596095,4.06018419688823,12.0,5.88927571686359,237.0,0.9435600000000001
1,31.0,0.6739458752789395,6.303607735263068,9.46910924737922,0.7522191932371595,0.017881475874441503,0.3395759561596095,2.1488990906066525,12.0,5.88927571686359,237.0,0.9435600000000001
2,31.0,0.6739458752789395,5.582956384335504,10.128440687060719,0.7522191932371595,0.017881475874441503,0.3395759561596095,4.518450943074312,12.0,5.88927571686359,237.0,0.9435600000000001
3,31.0,0.6739458752789395,3.700948880407425,18.103829496358422,0.7522191932371595,0.017881475874441503,0.3395759561596095,3.2556268772707315,12.0,5.88927571686359,237.0,0.9435600000000001
4,31.0,0.6739458752789395,4.3564677148899715,9.46910924737922,0.7522191932371595,0.017881475874441503,0.3395759561596095,5.878022478878483,12.0,5.88927571686359,237.0,0.9435600000000001
5,31.0,0.6739458752789395,5.345357375633999,9.46910924737922,0.7522191932371595,0.017881475874441503,0.3395759561596095,5.878022478878483,12.0,5.88927571686359,237.0,0.9435600000000001
6,31.0,0.6739458752789395,3.700948880407425,10.128440687060719,0.7522191932371595,0.017881475874441503,0.3395759561596095,3.2556268772707315,12.0,5.88927571686359,237.0,0.9435600000000001
7,31.0,0.6739458752789395,4.825047501993714,10.128440687060719,0.7522191932371595,0.017881475874441503,0.3395759561596095,3.445431200678781,12.0,5.88927571686359,237.0,0.9435600000000001
8,31.0,0.6739458752789395,5.279707064490581,9.46910924737922,0.7522191932371595,0.017881475874441503,0.3395759561596095,5.878022478878483,12.0,5.88927571686359,237.0,0.9435600000000001
9,31.0,0.6739458752789395,3.6650516136072895,10.128440687060719,0.7522191932371595,0.017881475874441503,0.3395759561596095,3.445431200678781,12.0,5.88927571686359,237.0,0.9435600000000001
10,31.0,0.6739458752789395,1.7097850627852238,9.46910924737922,0.7522191932371595,0.017881475874441503,0.3395759561596095,2.1488990906066525,12.0,5.88927571686359,237.0,0.9435600000000001
11,31.0,0.6739458752789395,6.303607735263068,7.880267635987144,0.7522191932371595,0.017881475874441503,0.3395759561596095,2.1488990906066525,12.0,5.88927571686359,237.0,0.9435600000000001
12,31.0,0.6739458752789395,3.700948880407425,18.103829496358422,0.7522191932371595,0.017881475874441503,0.3395759561596095,0.8268182376403987,12.0,5.88927571686359,237.0,0.9435600000000001
13,31.0,0.6739458752789395,3.6650516136072895,10.128440687060719,0.7522191932371595,0.017881475874441503,0.3395759561596095,6.227895637325302,12.0,5.88927571686359,237.0,0.9435600000000001
14,31.0,0.6739458752789395,4.888980706912882,7.880267635987144,0.7522191932371595,0.017881475874441503,0.3395759561596095,3.4105693023615777,12.0,5.88927571686359,237.0,0.9435600000000001
